upstox_id,tradingsymbol,instrument_type,exchange,symbol,name_of_company,date_of_listing,isin_number,face_value
BSE_EQ|INE02EZ01022,AXITA,EQUITY,BSE_EQ,AXITA,Axita Cotton Limited,21-JUN-2022,INE02EZ01022,1
BSE_EQ|INE542W01017,KPIGREEN,EQUITY,BSE_EQ,KPIGREEN,KPI Green Energy Limited,27-JUL-2021,INE542W01017,10
BSE_EQ|INE276A01018,GARFIBRES,EQUITY,BSE_EQ,GARFIBRES,Garware Technical Fibres Limited,03-APR-2007,INE276A01018,10
BSE_EQ|INE425Y01011,RPSGVENT,EQUITY,BSE_EQ,RPSGVENT,RPSG VENTURES LIMITED,25-JAN-2019,INE425Y01011,10
BSE_EQ|INE426D01013,GOACARBON,EQUITY,BSE_EQ,GOACARBON,Goa Carbon Limited,05-JUN-2007,INE426D01013,10
BSE_EQ|INE020801028,SPENCERS,EQUITY,BSE_EQ,SPENCERS,Spencer's Retail Limited,25-JAN-2019,INE020801028,5
BSE_EQ|INE350Z01018,GLOSTERLTD,EQUITY,BSE_EQ,GLOSTERLTD,Gloster Limited,26-APR-2024,INE350Z01018,10
BSE_EQ|INE01P501012,XELPMOC,EQUITY,BSE_EQ,XELPMOC,Xelpmoc Design And Tech Limited,04-FEB-2019,INE01P501012,10
BSE_EQ|INE01EG01016,RITCO,EQUITY,BSE_EQ,RITCO,Ritco Logistics Limited,12-APR-2022,INE01EG01016,10
BSE_EQ|INE545A01016,HEG,EQUITY,BSE_EQ,HEG,HEG Limited,10-MAY-1995,INE545A01016,10
BSE_EQ|INE310C01029,HINDCOMPOS,EQUITY,BSE_EQ,HINDCOMPOS,Hindustan Composites Limited,08-MAY-1996,INE310C01029,5
BSE_EQ|INE544H01014,JHS,EQUITY,BSE_EQ,JHS,JHS Svendgaard Laboratories Limited,21-OCT-2006,INE544H01014,10
BSE_EQ|INE02AR01019,ANMOL,EQUITY,BSE_EQ,ANMOL,Anmol India Limited,04-JUN-2021,INE02AR01019,10
BSE_EQ|INE557A01011,HIL,EQUITY,BSE_EQ,HIL,HIL Limited,26-APR-1995,INE557A01011,10
BSE_EQ|INE637H01024,SHIVAMAUTO,EQUITY,BSE_EQ,SHIVAMAUTO,Shivam Autotech Limited,21-NOV-2006,INE637H01024,2
BSE_EQ|INE663F01024,NAUKRI,EQUITY,BSE_EQ,NAUKRI,Info Edge (India) Limited,21-NOV-2006,INE663F01024,10
BSE_EQ|INE061A01014,INDIANCARD,EQUITY,BSE_EQ,INDIANCARD,Indian Card Clothing Company Limited,08-JAN-1997,INE061A01014,10
BSE_EQ|INE561H01026,PARSVNATH,EQUITY,BSE_EQ,PARSVNATH,Parsvnath Developers Limited,30-NOV-2006,INE561H01026,5
BSE_EQ|INE575C01027,INTLCONV,EQUITY,BSE_EQ,INTLCONV,International Conveyors Limited,16-SEP-2021,INE575C01027,1
BSE_EQ|INE364A01020,JAYSREETEA,EQUITY,BSE_EQ,JAYSREETEA,Jayshree Tea & Industries Limited,15-FEB-1995,INE364A01020,5
BSE_EQ|INE955V01021,ARVINDFASN,EQUITY,BSE_EQ,ARVINDFASN,Arvind Fashions Limited,08-MAR-2019,INE955V01021,4
BSE_EQ|INE645H01027,SUTLEJTEX,EQUITY,BSE_EQ,SUTLEJTEX,Sutlej Textiles and Industries Limited,14-DEC-2006,INE645H01027,1
BSE_EQ|INE671H01015,SOBHA,EQUITY,BSE_EQ,SOBHA,Sobha Limited,20-DEC-2006,INE671H01015,10
BSE_EQ|INE872H01027,LUMAXTECH,EQUITY,BSE_EQ,LUMAXTECH,Lumax Auto Technologies Limited,16-JAN-2007,INE872H01027,2
